search out	Ubik
lacerate	1) рвать, раздирать 2) терзать, мучить
lade	1) поток воды, приводящий в движение мельничное колесо 2) канал; проток а) грузить, нагружать (судно)
libel	 1) клевета, пасквиль, диффамация 1) клеветать, писать пасквили;
listen in	1) подслушивать
lithe	гибкий, податливый
litigation	тяжба; судебный процесс
loftiness	2) величественность; статность 3) высокомерие, надменность
lug	а) волочение, тяга 1) волочить, тянуть, тащить; 3) = ~ in притягивать за уши,
lurch	2) шаткая походка; пошатывание крениться 2) идти шатаясь, пошатываться
mannish	1) мужеподобная, неженственная
maroon	1) густой, насыщенный красно-коричневый а) ~ (беглый негр в Вест-Индии и Суринаме) б) изгой, беглец; отшельник а) человек, высаженный на необитаемом острове а) обычно заблудиться, затеряться (в зарослях) б) попадать в безвыходную ситуацию, тупиковое положение; оказываться оторванным (от жизни, цивилизации, общения с кем-л.) We were ~ed in this city full of strangers. — Мы затерялись в этом городе, полном чужаков. 2) а) высаживать, оставлять (на необитаемом острове, на пустынном побережье )
midriff	1) диафрагма, грудобрюшная преграда 2) талия
moribund	1) умирающий; отмирающий 2) заканчивающийся 3) устаревающий, выходящий из употребления
muddle	1) путаница, неразбериха; 1) мутить, взбалтывать; перемешивать а) тратить попусту, по-глупому; транжирить делать кое-как, бестолково, неэффективно;
nettle	крапива а) обжигать крапивой б) жечься 2) раздражать, сердить, уязвлять
nag	1) придираться; привязываться,
nutty	4) свихнувшийся, ненормальный; дурацкий 5) (nutty about / over) увлекающийся, влюбчивый
obsolescence	1) устаревание а) постепенное исчезновение (вида) б) постепенная остановка (физиологического процесса)
obviate	избегать; устранять; избавляться
ominous	1) предсказывающий, предвещающий 2) грозный, зловещий, угрожающий
ostentatious	показной; внешний, нарочитый; хвастливый
peekaboo	1) "куку" (игра в прятки с ребёнком)
peeve	1) раздражение, раздражённое состояние 2) жалоба my pet ~— любимая мозоль, больное место
pelt	а) шкура; кожа 1) бросание, швыряние а) бросать (в кого-л.) ; забрасывать (камнями, грязью) ; обстреливать2) колотить, барабанить (о граде) ; лить (о дожде) 
perambulate	1) ходить взад и вперёд, расхаживать 2) обходить границы а) катать коляску
perpetuity	1) бесконечность, вечность
pinstripe	тонкая (светлая) полоска (на материи)
pitch in	1) энергично браться за (что-л.) , налегать на (что-л.) 2) вносить свою долю, вклад
potbellied	пузатый, толстый
pratfall	1) нарочито неуклюжее падение на ягодицы (обычно c расчётом произвести комический эффект) 2) осечка, оплошность, вызывающая смех
putrefy	а) гнить, разлагаться 2) разлагаться (морально) , опускаться, становиться беспринципным, продажным
queasy	а) испытывающий тошноту; подверженный тошноте б) тошнотворный, вызывающий тошноту 2) взволнованный, обеспокоенный
rattle	1) трещать, грохотать; греметь (посудой, ключами и т. п.) а) двигать с грохотом 5) волновать, пугать; смущать, приводить в замешательство
rattled	Он здорово набрался
rapt	1) восхищённый, восторженный Syn: admiring 2) сосредоточенный, поглощённый (мыслью и т. п.)
